PSTAR: Stopping Powers and Range Tables for Protons

AIR (dry, near sea level)                                               

Kinetic  	Total    	
Energy   	Stp. Pow.	
MeV      	MeV cm2/g	

1.000E-03	1.414E+02	
1.500E-03	1.651E+02	
2.000E-03	1.855E+02	
2.500E-03	2.038E+02	
3.000E-03	2.206E+02	
4.000E-03	2.507E+02	
5.000E-03	2.776E+02	
6.000E-03	3.021E+02	
7.000E-03	3.248E+02	
8.000E-03	3.460E+02	
9.000E-03	3.660E+02	
1.000E-02	3.850E+02	
1.250E-02	4.224E+02	
1.500E-02	4.552E+02	
1.750E-02	4.843E+02	
2.000E-02	5.106E+02	
2.250E-02	5.343E+02	
2.500E-02	5.558E+02	
2.750E-02	5.755E+02	
3.000E-02	5.934E+02	
3.500E-02	6.246E+02	
4.000E-02	6.506E+02	
4.500E-02	6.721E+02	
5.000E-02	6.897E+02	
5.500E-02	7.038E+02	
6.000E-02	7.149E+02	
6.500E-02	7.233E+02	
7.000E-02	7.293E+02	
7.500E-02	7.333E+02	
8.000E-02	7.355E+02	
8.500E-02	7.360E+02	
9.000E-02	7.352E+02	
9.500E-02	7.332E+02	
1.000E-01	7.301E+02	
1.250E-01	7.038E+02	
1.500E-01	6.680E+02	
1.750E-01	6.298E+02	
2.000E-01	5.928E+02	
2.250E-01	5.589E+02	
2.500E-01	5.284E+02	
2.750E-01	5.011E+02	
3.000E-01	4.767E+02	
3.500E-01	4.353E+02	
4.000E-01	4.015E+02	
4.500E-01	3.736E+02	
5.000E-01	3.501E+02	
5.500E-01	3.300E+02	
6.000E-01	3.123E+02	
6.500E-01	2.967E+02	
7.000E-01	2.826E+02	
7.500E-01	2.701E+02	
8.000E-01	2.589E+02	
8.500E-01	2.486E+02	
9.000E-01	2.393E+02	
9.500E-01	2.308E+02	
1.000E+00	2.229E+02	
1.250E+00	1.912E+02	
1.500E+00	1.683E+02	
1.750E+00	1.509E+02	
2.000E+00	1.371E+02	
2.250E+00	1.258E+02	
2.500E+00	1.165E+02	
2.750E+00	1.086E+02	
3.000E+00	1.018E+02	
3.500E+00	9.068E+01	
4.000E+00	8.197E+01	
4.500E+00	7.492E+01	
5.000E+00	6.909E+01	
5.500E+00	6.417E+01	
6.000E+00	5.997E+01	
6.500E+00	5.633E+01	
7.000E+00	5.315E+01	
7.500E+00	5.033E+01	
8.000E+00	4.783E+01	
8.500E+00	4.559E+01	
9.000E+00	4.357E+01	
9.500E+00	4.173E+01	
1.000E+01	4.006E+01	
1.250E+01	3.351E+01	
1.500E+01	2.894E+01	
1.750E+01	2.555E+01	
2.000E+01	2.294E+01	
2.500E+01	1.915E+01	
2.750E+01	1.773E+01	
3.000E+01	1.653E+01	
3.500E+01	1.460E+01	
4.000E+01	1.312E+01	
4.500E+01	1.194E+01	
5.000E+01	1.099E+01	
5.500E+01	1.019E+01	
6.000E+01	9.517E+00	
6.500E+01	8.942E+00	
7.000E+01	8.443E+00	
7.500E+01	8.006E+00	
8.000E+01	7.620E+00	
8.500E+01	7.277E+00	
9.000E+01	6.970E+00	
9.500E+01	6.693E+00	
1.000E+02	6.443E+00	
1.250E+02	5.475E+00	
1.500E+02	4.816E+00	
1.750E+02	4.338E+00	
2.000E+02	3.976E+00	
2.250E+02	3.691E+00	
2.500E+02	3.462E+00	
2.750E+02	3.275E+00	
3.000E+02	3.118E+00	
3.500E+02	2.871E+00	
4.000E+02	2.687E+00	
4.500E+02	2.544E+00	
5.000E+02	2.431E+00	
5.500E+02	2.340E+00	
6.000E+02	2.266E+00	
6.500E+02	2.203E+00	
7.000E+02	2.151E+00	
7.500E+02	2.107E+00	
8.000E+02	2.069E+00	
8.500E+02	2.037E+00	
9.000E+02	2.008E+00	
9.500E+02	1.984E+00	
1.000E+03	1.963E+00	
1.500E+03	1.850E+00	
2.000E+03	1.820E+00	
2.500E+03	1.818E+00	
3.000E+03	1.828E+00	
4.000E+03	1.861E+00	
5.000E+03	1.898E+00	
6.000E+03	1.934E+00	
7.000E+03	1.967E+00	
8.000E+03	1.998E+00	
9.000E+03	2.026E+00	
1.000E+04	2.052E+00	
