PSTAR: Stopping Powers and Range Tables for Protons

GLASS, BOROSILICATE (Pyrex, Corning 7740)                               

Kinetic   Total     
Energy    Stp. Pow. 
MeV       MeV cm2/g 

1.000E-03 1.056E+02 
1.500E-03 1.233E+02 
2.000E-03 1.385E+02 
2.500E-03 1.521E+02 
3.000E-03 1.645E+02 
4.000E-03 1.868E+02 
5.000E-03 2.067E+02 
6.000E-03 2.249E+02 
7.000E-03 2.416E+02 
8.000E-03 2.573E+02 
9.000E-03 2.721E+02 
1.000E-02 2.861E+02 
1.250E-02 3.137E+02 
1.500E-02 3.378E+02 
1.750E-02 3.593E+02 
2.000E-02 3.787E+02 
2.250E-02 3.962E+02 
2.500E-02 4.121E+02 
2.750E-02 4.266E+02 
3.000E-02 4.399E+02 
3.500E-02 4.631E+02 
4.000E-02 4.825E+02 
4.500E-02 4.986E+02 
5.000E-02 5.120E+02 
5.500E-02 5.229E+02 
6.000E-02 5.316E+02 
6.500E-02 5.386E+02 
7.000E-02 5.438E+02 
7.500E-02 5.477E+02 
8.000E-02 5.503E+02 
8.500E-02 5.518E+02 
9.000E-02 5.523E+02 
9.500E-02 5.521E+02 
1.000E-01 5.511E+02 
1.250E-01 5.385E+02 
1.500E-01 5.188E+02 
1.750E-01 4.967E+02 
2.000E-01 4.745E+02 
2.250E-01 4.517E+02 
2.500E-01 4.297E+02 
2.750E-01 4.092E+02 
3.000E-01 3.905E+02 
3.500E-01 3.583E+02 
4.000E-01 3.319E+02 
4.500E-01 3.101E+02 
5.000E-01 2.919E+02 
5.500E-01 2.764E+02 
6.000E-01 2.626E+02 
6.500E-01 2.503E+02 
7.000E-01 2.393E+02 
7.500E-01 2.294E+02 
8.000E-01 2.204E+02 
8.500E-01 2.122E+02 
9.000E-01 2.048E+02 
9.500E-01 1.979E+02 
1.000E+00 1.915E+02 
1.250E+00 1.657E+02 
1.500E+00 1.468E+02 
1.750E+00 1.321E+02 
2.000E+00 1.205E+02 
2.250E+00 1.110E+02 
2.500E+00 1.030E+02 
2.750E+00 9.626E+01 
3.000E+00 9.042E+01 
3.500E+00 8.084E+01 
4.000E+00 7.329E+01 
4.500E+00 6.716E+01 
5.000E+00 6.208E+01 
5.500E+00 5.778E+01 
6.000E+00 5.410E+01 
6.500E+00 5.091E+01 
7.000E+00 4.810E+01 
7.500E+00 4.562E+01 
8.000E+00 4.341E+01 
8.500E+00 4.142E+01 
9.000E+00 3.963E+01 
9.500E+00 3.800E+01 
1.000E+01 3.651E+01 
1.250E+01 3.066E+01 
1.500E+01 2.656E+01 
1.750E+01 2.351E+01 
2.000E+01 2.114E+01 
2.500E+01 1.771E+01 
2.750E+01 1.642E+01 
3.000E+01 1.532E+01 
3.500E+01 1.356E+01 
4.000E+01 1.220E+01 
4.500E+01 1.112E+01 
5.000E+01 1.024E+01 
5.500E+01 9.505E+00 
6.000E+01 8.885E+00 
6.500E+01 8.354E+00 
7.000E+01 7.893E+00 
7.500E+01 7.489E+00 
8.000E+01 7.132E+00 
8.500E+01 6.815E+00 
9.000E+01 6.530E+00 
9.500E+01 6.273E+00 
1.000E+02 6.041E+00 
1.250E+02 5.142E+00 
1.500E+02 4.529E+00 
1.750E+02 4.083E+00 
2.000E+02 3.745E+00 
2.250E+02 3.480E+00 
2.500E+02 3.266E+00 
2.750E+02 3.090E+00 
3.000E+02 2.944E+00 
3.500E+02 2.713E+00 
4.000E+02 2.541E+00 
4.500E+02 2.407E+00 
5.000E+02 2.302E+00 
5.500E+02 2.217E+00 
6.000E+02 2.147E+00 
6.500E+02 2.089E+00 
7.000E+02 2.040E+00 
7.500E+02 1.998E+00 
8.000E+02 1.962E+00 
8.500E+02 1.930E+00 
9.000E+02 1.903E+00 
9.500E+02 1.879E+00 
1.000E+03 1.859E+00 
1.500E+03 1.745E+00 
2.000E+03 1.708E+00 
2.500E+03 1.699E+00 
3.000E+03 1.701E+00 
4.000E+03 1.718E+00 
5.000E+03 1.740E+00 
6.000E+03 1.762E+00 
7.000E+03 1.783E+00 
8.000E+03 1.803E+00 
9.000E+03 1.821E+00 
1.000E+04 1.838E+00 
