PSTAR: Stopping Powers and Range Tables for Protons

POLYTETRAFLUOROETHYLENE (TEFLON)                                        

Kinetic   Total     
Energy    Stp. Pow. 
MeV       MeV cm2/g 

1.000E-03 1.017E+02 
1.500E-03 1.178E+02 
2.000E-03 1.317E+02 
2.500E-03 1.442E+02 
3.000E-03 1.557E+02 
4.000E-03 1.747E+02 
5.000E-03 1.920E+02 
6.000E-03 2.078E+02 
7.000E-03 2.224E+02 
8.000E-03 2.357E+02 
9.000E-03 2.480E+02 
1.000E-02 2.595E+02 
1.250E-02 2.835E+02 
1.500E-02 3.043E+02 
1.750E-02 3.228E+02 
2.000E-02 3.397E+02 
2.250E-02 3.550E+02 
2.500E-02 3.691E+02 
2.750E-02 3.819E+02 
3.000E-02 3.938E+02 
3.500E-02 4.154E+02 
4.000E-02 4.347E+02 
4.500E-02 4.519E+02 
5.000E-02 4.668E+02 
5.500E-02 4.796E+02 
6.000E-02 4.906E+02 
6.500E-02 4.999E+02 
7.000E-02 5.078E+02 
7.500E-02 5.143E+02 
8.000E-02 5.196E+02 
8.500E-02 5.239E+02 
9.000E-02 5.271E+02 
9.500E-02 5.295E+02 
1.000E-01 5.310E+02 
1.250E-01 5.295E+02 
1.500E-01 5.174E+02 
1.750E-01 5.000E+02 
2.000E-01 4.801E+02 
2.250E-01 4.609E+02 
2.500E-01 4.428E+02 
2.750E-01 4.258E+02 
3.000E-01 4.100E+02 
3.500E-01 3.815E+02 
4.000E-01 3.567E+02 
4.500E-01 3.349E+02 
5.000E-01 3.156E+02 
5.500E-01 2.985E+02 
6.000E-01 2.833E+02 
6.500E-01 2.698E+02 
7.000E-01 2.576E+02 
7.500E-01 2.467E+02 
8.000E-01 2.367E+02 
8.500E-01 2.276E+02 
9.000E-01 2.193E+02 
9.500E-01 2.116E+02 
1.000E+00 2.046E+02 
1.250E+00 1.760E+02 
1.500E+00 1.553E+02 
1.750E+00 1.393E+02 
2.000E+00 1.267E+02 
2.250E+00 1.164E+02 
2.500E+00 1.079E+02 
2.750E+00 1.006E+02 
3.000E+00 9.438E+01 
3.500E+00 8.418E+01 
4.000E+00 7.615E+01 
4.500E+00 6.965E+01 
5.000E+00 6.428E+01 
5.500E+00 5.974E+01 
6.000E+00 5.587E+01 
6.500E+00 5.251E+01 
7.000E+00 4.957E+01 
7.500E+00 4.697E+01 
8.000E+00 4.466E+01 
8.500E+00 4.258E+01 
9.000E+00 4.071E+01 
9.500E+00 3.900E+01 
1.000E+01 3.745E+01 
1.250E+01 3.136E+01 
1.500E+01 2.711E+01 
1.750E+01 2.396E+01 
2.000E+01 2.152E+01 
2.500E+01 1.799E+01 
2.750E+01 1.666E+01 
3.000E+01 1.554E+01 
3.500E+01 1.373E+01 
4.000E+01 1.234E+01 
4.500E+01 1.124E+01 
5.000E+01 1.034E+01 
5.500E+01 9.596E+00 
6.000E+01 8.965E+00 
6.500E+01 8.424E+00 
7.000E+01 7.956E+00 
7.500E+01 7.546E+00 
8.000E+01 7.183E+00 
8.500E+01 6.861E+00 
9.000E+01 6.572E+00 
9.500E+01 6.312E+00 
1.000E+02 6.077E+00 
1.250E+02 5.167E+00 
1.500E+02 4.547E+00 
1.750E+02 4.097E+00 
2.000E+02 3.755E+00 
2.250E+02 3.487E+00 
2.500E+02 3.272E+00 
2.750E+02 3.095E+00 
3.000E+02 2.947E+00 
3.500E+02 2.714E+00 
4.000E+02 2.541E+00 
4.500E+02 2.406E+00 
5.000E+02 2.300E+00 
5.500E+02 2.214E+00 
6.000E+02 2.144E+00 
6.500E+02 2.085E+00 
7.000E+02 2.036E+00 
7.500E+02 1.994E+00 
8.000E+02 1.957E+00 
8.500E+02 1.925E+00 
9.000E+02 1.898E+00 
9.500E+02 1.873E+00 
1.000E+03 1.852E+00 
1.500E+03 1.733E+00 
2.000E+03 1.692E+00 
2.500E+03 1.679E+00 
3.000E+03 1.677E+00 
4.000E+03 1.689E+00 
5.000E+03 1.706E+00 
6.000E+03 1.725E+00 
7.000E+03 1.743E+00 
8.000E+03 1.760E+00 
9.000E+03 1.776E+00 
1.000E+04 1.791E+00 
